F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
1.643,0,-4894.24,-13.0281,-4.7934,0,5.127,-17.11,-63.34,3.6169,-2671.5,-2.36,5.78344,-11315.46,22912.53,-0.4,103811.34,5.438,1747.92,-4879.68,-41.58,False
0.531,0,-5085.44,-16.221,-3.9917757,0,4.6256,-4.58,-10.314,3.6488,-2826.59,-5.968,8.18,-12852.96,25696.44,-0.4,103884.02,5.096,1496.08,-4186.38,-45.96,True
0.264,0,-7021.44,-11.7591,-6.1617,0,4.3628,-14.7118,-6.806,3.6283,-2490.5,-3.3914,5.7603124,-11012.16,20232.84,-1.4,103987.08,2.3652,1523.412,-4067.28,,False
0.3196,1,-4648.76,-11.811,-4.2177,0,8.938,-7.536,-4.67,3.01503,-2472,-2.6796,6.4371,-10297.86,23592.84,-1.4,103842.08,4.408,1506.81,1352.52,,True
4.08,0,-4877.2,-11.2635,-8.061,1,6.28,-14.5805,-45.92,3.6003,-2405.5,-5.006,6.3932,-11527.38,24778.74,-1.4,103842.48,3.1334,1581.79,-5095.88,-45.93,True
0.4568,0,-4983.04,-14.709,-6.6402,1,4.3992,-15.248,-16.458,6.596,-2725.5,-2.6296,6.4199,-12340.86,22063.44,-0.4,103927.24,6.248,1387.72,-4226.8,-43.56,False
0.262,0,-2091.44,-13.449,-4.8006,1,6.858,-10.097,-8.408,7.089,-2883.31,-5.688,5.77168,-9447.96,23027.52,-0.4,103842.3,2.22868,1525.276,-4274.68,-34.53,False
0.8144,0,-8513.44,-10.7589,-10.098,0,5.5288,-15.236,-12.318,3.1576,-1589.3,-1.65618,6.5366,-12202.86,24397.44,-1.4,103911.16,2.4258,1308.32,-5450.68,-43.5,True
1.112,0,-4622.9,-17.628,-8.295,1,10.154,-11.003,-7.984,3.3989,-2764.36,-1.72354,5.80558,-10919.46,22727.94,-1.4,103972.14,3.719,1716.52,-3306.68,,True
2.257,1,-5003.44,-18.435,-4.7997,1,4.0732,-14.5573,-14.626,3.149,-2778.49,-2.1194,6.878,-11922.66,16157.64,-0.4,103799.38,7.278,979.12,-93.48,,True
0.3987,1,-4804.14,-17.343,-6.4776,1,5.624,-16.852,-3.482,5.814,-2778.42,-1.9348,5.82583,-10185.66,22910.76,-1.4,103841.42,9.784,1947.52,-4456.4,-50.85,True
0.713,0,-5500.84,-13.1694,-5.8902,1,8.364,-11.911,-9.512,5.017,-2712.4,-2.015,5.7782,-11970.36,23444.97,-1.4,103801.68,2.8208,1226.02,-4160.58,-50.22,True
1.247,0,-4573.02,-11.4348,-4.3272,0,4.5904,-16.187,-48.66,7.279,-3162.8,-3.636,6.1983,-11356.35,24426.24,-0.4,103860.52,5.302,1513.01,-4302.96,,True
0.2748,0,-5015.44,-14.034,-6.3429,1,4.1306,-12.519,-1.9662,6.789,-2814.03,-1.69568,5.9425,-13589.76,21052.14,-0.4,103782.16,5.402,268.92,-4241.14,-41.73,False
0.2948,1,-4812.46,-10.8681,-5.8686,1,4.1772,-11.556,-62.14,3.1979,-2550.7,-4.574,5.77833,-10884.06,29465.64,-0.4,103805.54,4.404,1544.32,-4798.68,,True
2.842,0,-4609.86,-11.5152,-6.267,0,7.508,-13.7171,-48.42,3.2052,-2516.4,-2.1368,6.2035,-11548.62,23609.34,-1.4,103906.98,3.8378,1343.52,-2105.48,,True
2.608,0,-4878.56,-12.5046,-7.917,0,8.144,-19.958,-12.696,5.07,-2794.21,-7.356,5.7609952,-11570.64,23684.94,-0.4,103849.6,3.6844,1538.189,-4424.74,-47.7,True
0.2318,0,-6983.44,-11.4885,-4.9662,0,4.1188,-14.2891,-6.15,3.985,-3013.5,-4.478,5.77888,-15140.76,17105.64,-1.4,103889.9,2.4686,1436.61,-3793.28,,False
0.6456,0,-4829.68,-13.083,-5.2545,1,4.0154,-3.23,-15.41,4.441,-2759.99,-2.7914,5.80839,-11701.44,24472.44,-0.4,103851.36,4.506,1406.72,-3979.08,,True
0.4205,0,-7667.44,-11.0946,-5.6424,0,11.218,-19.526,-51.2,4.632,-2342,-3.3236,7.285,-13050.36,23119.8,-1.4,103851.08,2.6748,1516.57,-4514.88,-46.71,False
1.658,1,-5364.24,-14.751,-5.4831,1,4.3142,-21.354,-11.168,3.1984,-2740.01,-2.2194,5.762817,-11745.9,27533.64,-0.4,103858.39,2.4848,1239.42,-1779.48,-42.99,True
1.345,0,-5252.64,-12.0435,-6.5736,1,4.6896,-13.2198,-3.324,4.113,-2575.3,-2.5728,5.9192,-11919.66,22667.94,-1.4,104381.66,4.17,1359.52,-3962.28,-45.99,True
0.11826,0,-4888.48,-12.8316,-4.9128,1,4.1386,-9.615,-35.62,4.208,-2532.3,-4.712,5.78967,-7769.76,24530.94,-1.4,103842.38,4.0378,1514.02,-3977.08,-47.28,True
0.633,1,-6993.44,-15.927,-6.0999,0,8.452,-22.458,-12.802,3.0604,-2748.71,-5.64,6.5469,-12535.56,23591.94,-1.4,103981.16,2.7138,1515.7,-5438.68,,True
0.3728,1,-4702.4,-17.781,-5.7567,1,4.3368,-15.238,-13.27,3.6201,-2785.43,-5.084,5.9115,-10954.26,26681.64,-1.4,103797.98,8.372,1499.78,-3468.68,,True
0.3742,0,-6424.44,-10.64988,-7.98,0,5.7454,-16.469,-8.004,3.4015,-1967.1,-5.904,7.681,-10736.16,22208.94,-0.4,103834.38,2.4388,1551.33,-4693.28,-46.65,False
1.478,1,-4193.84,-15.912,-6.8343,1,10.806,-19.594,-2.97,3.688,-2859.49,-1.7608,7.704,-11392.98,23398.11,-1.4,103708.44,3.3298,1138.42,-3740.68,,False
0.1997,1,-4895.76,-13.0797,-4.5402,1,3.9928,-21.549,-0.7706,3.7713,-2897.91,-1.8354,6.238,-11652.15,13034.64,-0.4,103889.16,8.232,1741.32,-4794.08,-41.19,False
1.314,1,-4533.84,-11.4465,-7.212,0,4.02496,-8.551,-11.268,4.046,-2896.57,-4.212,6.0911,-11301.96,38444.64,-0.4,103990.9,3.6786,1565.89,-4548.76,-44.52,True
0.2136,1,-4392.04,-15.573,-4.5465,0,5.0954,-8.739,-0.124656,3.5278,-2867.79,-5.184,6.0214,-9157.86,24808.44,-1.4,103755.92,3.9864,1525.089,-3957.68,,False
3.453,0,-5559.04,-11.2137,-4.12761,0,4.1072,-17.043,-7.634,3.5572,-2311,-5.086,6.368,-11539.47,27902.64,-1.4,103879.9,2.4756,1551.56,-4501.44,-46.95,True
0.4722,0,-5838.04,-23.889,-4.7997,1,8.116,-14.2426,-0.8568,3.3871,-2807.58,-3.746,6.1562,-11894.1,23751.54,-0.4,103876.98,2.6106,1517.01,-4306.32,,False
2.453,1,-4747.4861,-11.8656,-5.9139,1,6.99,-16.741,-1.4298,3.8586,-2907.4,-1.9232,6.2765,-11570.58,22920.33,-1.4,103820.12,5.734,1271.32,-3926.28,,False
0.9671,0,-4779.08,-10.6911,-7.086,0,4.2666,-8.611,-19.144,4.16,-3438,-2.1864,6.0007,-11515.02,29627.64,-0.4,103922.12,5.408,1616,-4615.28,-47.79,True
0.6168,1,-12285.44,-15.489,-7.317,0,5.2868,-19.211,-37.02,3.5982,-2852.82,-3.998,5.763179,-12577.56,22811.94,-1.4,103714.82,2.23532,1500.96,-4639.48,-43.05,False
1.721,0,-4915.32,-10.61952,-4.4934,0,6.84,-7.656,-99.8,3.5025,-1060.3,-2.2412,5.77001,-11480.91,22900.11,-0.4,103629.66,5.834,1606.87,-4402.88,-45.96,False
4.602,1,-4558.66,-12.795,-5.6838,0,7.19,-13.1179,-30.32,3.2387,-2818.79,-2.8814,5.84312,-11521.59,23684.94,-1.4,103787.1,4.202,1565.24,-4206.76,,False
1.463,0,-6122.84,-10.63629,-4.16886,0,5.0782,-14.03184,-69.86,3.0948,-2170.9,-4.86,7.96,-11853.15,23547.84,-0.4,103884.32,2.6212,1488.32,-2360.28,,False
0.4455,0,-5631.04,-11.8017,-7.836,1,5.2288,-11.327,-3.446,5.161,-2539.8,-9.002,5.9189,-11179.26,22917.42,-0.4,103839.98,2.8562,1539.531,-4394.86,-45.15,False
1.349,1,-5407.04,-23.568,-5.6802,0,4.9622,-14.1652,-27.68,3.5508,-2844.585,-4.39,6.4984,-11752.95,22934.31,-0.4,103841.26,3.5684,1539.423,-4890.68,,False
0.9646,0,-4480.84,-18.981,-6.7986,1,4.5602,-17.667,-5.89,3.0688,-2846.801,-3.722,8.914,-11070.96,26249.64,-0.4,103889.78,6.068,1501.41,-147.48,-47.13,True
