F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Target
854.04,-15267.84,193.04,12132.2,464.22,-19.81,920.42,11.84,-38.02,8.35,2,952.53,-554.22,-4.53,7.2,46.17,13.98,-37437.78,-583.34,Low,-368.48,319.02,41.26,-277.38,-31539.9,-115.92,Rest,-100.43,10497.32,8,-46.22,91.89,-41.7,-849.78,-5.12,4261.68,609.09
1748.76,-4299.45,439.72,18046.14,540.36,-8.55,1913.78,11.28,122.02,-8.83,0,1122.94,-614.49,-8.1,14.7,37.59,17.05,-15121.95,-632.16,Very low,-556.62,76.5,1.1,-88.98,-25532.67,-144.67,USA,-97.41,16792.88,4,51.24,-450.34,-75.3,-1801.59,-0.16,2737.58,232.66
834.44,-18927.93,-85.86,18533.56,611.34,-15.88,1956.9,10,-24.26,-54.33,3,1077.86,-597.09,-8.64,20.25,36.24,15.94,-3659.73,41.96,High,-275.04,161.22,1.56,-124.14,-12582.51,-131.97,Rest,-135.59,-5647.94,6,40.93,-471.02,-55.5,-2529.75,8.5,3696.64,480.01
1429.36,3653.73,-59.69,31314.52,408.45,-9.67,1628.18,11.59,90.88,-38.87,5,844.83,-360.9,-18.66,7.86,48.15,15.58,-36495.27,-190.68,Very high,-445.08,202.5,24.4,-324.36,-30341.7,-91.75,USA,-85.77,6869.46,2,-9.19,-290.45,-67.86,-2915.34,9.76,2919.54,1685.2
188.8,-3932.07,128.7,22837.34,530.22,-14.93,1218.16,9.55,-93.78,-61.95,4,1355.6,-648.63,-8.52,16.38,39.24,6.32,-20724.51,-822.35,High,-297.98,284.46,2.54,-179.91,-22865.49,-108.92,Rest,-75.76,16974.08,2,100.86,-850.1,-64.95,-2154.12,13.42,2693.48,617.96
1602.8,-10519.38,-171.15,27837.94,691.86,-12.53,1801.42,12.01,77.56,-55.78,5,918.37,-491.1,-17.31,15.96,45.24,11.76,-15998.55,-313.7,Low,-344.08,245.62,20.58,-109.02,-38477.79,-139.13,Europe,-97.4,14982.2,8,27.07,-318.71,-34.02,-1213.29,12.02,3054.4,632.93
2769.66,3712.02,-572.38,27608.68,148.41,-14.68,2128.78,9.85,39.66,-103.49,3,1626.53,-504.33,-11.88,3.09,54.75,18.48,-18389.31,-521.05,Very low,-336.58,314.16,0.08,-138.03,-28609.38,-114.57,Europe,-97.26,1395.68,10,-3.54,-518.08,-52.5,-1802.52,-8.64,4965.36,-397.56
-182.6,-3632.97,-395.9,24498.58,576.48,-6.34,1718.56,6,24.1,-53.97,4,607.18,-438.87,-32.46,16.86,45.21,14.12,-17313.66,-629.98,Very high,-313.08,220.8,2.52,-271.83,-34148.04,-88.09,UK,-93.26,9556.62,6,-14.74,-323.35,-62.61,-1853.46,2.92,4535.78,652.43
2050.82,4715.52,-351.56,23770.56,584.22,-9.63,1925.4,15.82,-25.94,-89.26,3,1069.15,-519.75,-9.09,6.6,37.71,14.95,-29263.53,-626.94,Medium,-312.28,165.4,0.14,-114.69,-30164.88,-70.66,USA,-74.51,13830.26,12,-42.24,-711.75,-83.4,-870.96,12.42,5772.38,425.97
1233.26,-17861.43,-1247.48,29122.66,716.58,-15.64,1298.58,6.95,97.58,-76.94,5,1218.19,-552.81,-21.51,22.32,51.06,10.81,-18941.16,-156.21,Low,-315.74,240.78,43.34,72.81,-33268.86,-129.31,USA,-148.6,14656.34,12,-23.45,-681.06,-42.96,-1007.49,14.6,3505.52,1373.65
